time_iso8601,forks_cumulative
2024-08-22 00:00:00+00:00,40759
2024-08-23 00:00:00+00:00,40768
2024-08-24 00:00:00+00:00,40775
2024-08-25 00:00:00+00:00,40786
2024-08-26 00:00:00+00:00,40798
2024-08-27 00:00:00+00:00,40808
2024-08-28 00:00:00+00:00,40823
2024-08-29 00:00:00+00:00,40836
2024-08-30 00:00:00+00:00,40844
2024-08-31 00:00:00+00:00,40852
2024-09-01 00:00:00+00:00,40859
2024-09-02 00:00:00+00:00,40876
2024-09-03 00:00:00+00:00,40889
2024-09-04 00:00:00+00:00,40904
2024-09-05 00:00:00+00:00,40909
2024-09-06 00:00:00+00:00,40922
2024-09-07 00:00:00+00:00,40935
2024-09-08 00:00:00+00:00,40945
2024-09-09 00:00:00+00:00,40956
2024-09-10 00:00:00+00:00,40961
2024-09-11 00:00:00+00:00,40967
2024-09-12 00:00:00+00:00,40983
2024-09-13 00:00:00+00:00,40997
2024-09-14 00:00:00+00:00,41007
2024-09-15 00:00:00+00:00,41029
2024-09-16 00:00:00+00:00,41044
2024-09-17 00:00:00+00:00,41055
2024-09-18 00:00:00+00:00,41077
2024-09-19 00:00:00+00:00,41105
2024-09-20 00:00:00+00:00,41126
2024-09-21 00:00:00+00:00,41137
2024-09-22 00:00:00+00:00,41158
2024-09-23 00:00:00+00:00,41180
2024-09-24 00:00:00+00:00,41196
2024-09-25 00:00:00+00:00,41212
2024-09-26 00:00:00+00:00,41218
2024-09-27 00:00:00+00:00,41227
2024-09-28 00:00:00+00:00,41234
2024-09-29 00:00:00+00:00,41245
2024-09-30 00:00:00+00:00,41255
2024-10-01 00:00:00+00:00,41261
2024-10-02 00:00:00+00:00,41277
2024-10-03 00:00:00+00:00,41298
2024-10-04 00:00:00+00:00,41305
2024-10-05 00:00:00+00:00,41313
2024-10-06 00:00:00+00:00,41326
2024-10-07 00:00:00+00:00,41337
2024-10-08 00:00:00+00:00,41348
2024-10-09 00:00:00+00:00,41357
2024-10-10 00:00:00+00:00,41365
2024-10-11 00:00:00+00:00,41374
2024-10-12 00:00:00+00:00,41390
2024-10-13 00:00:00+00:00,41393
2024-10-14 00:00:00+00:00,41405
2024-10-15 00:00:00+00:00,41418
2024-10-16 00:00:00+00:00,41431
2024-10-17 00:00:00+00:00,41435
2024-10-18 00:00:00+00:00,41445
2024-10-19 00:00:00+00:00,41454
2024-10-20 00:00:00+00:00,41462
2024-10-21 00:00:00+00:00,41471
2024-10-22 00:00:00+00:00,41479
2024-10-23 00:00:00+00:00,41486
2024-10-24 00:00:00+00:00,41504
2024-10-25 00:00:00+00:00,41517
2024-10-26 00:00:00+00:00,41528
2024-10-27 00:00:00+00:00,41541
2024-10-28 00:00:00+00:00,41553
2024-10-29 00:00:00+00:00,41563
2024-10-30 00:00:00+00:00,41574
2024-10-31 00:00:00+00:00,41584
2024-11-01 00:00:00+00:00,41593
2024-11-02 00:00:00+00:00,41604
2024-11-03 00:00:00+00:00,41608
2024-11-04 00:00:00+00:00,41612
2024-11-05 00:00:00+00:00,41622
2024-11-06 00:00:00+00:00,41630
2024-11-07 00:00:00+00:00,41647
2024-11-08 00:00:00+00:00,41652
2024-11-09 00:00:00+00:00,41667
2024-11-10 00:00:00+00:00,41674
2024-11-11 00:00:00+00:00,41687
2024-11-12 00:00:00+00:00,41704
2024-11-13 00:00:00+00:00,41718
2024-11-14 00:00:00+00:00,41728
2024-11-15 00:00:00+00:00,41737
2024-11-16 00:00:00+00:00,41742
2024-11-17 00:00:00+00:00,41753
2024-11-18 00:00:00+00:00,41762
2024-11-19 00:00:00+00:00,41775
2024-11-20 00:00:00+00:00,41793
2024-11-21 00:00:00+00:00,41807
2024-11-22 00:00:00+00:00,41818
2024-11-23 00:00:00+00:00,41831
2024-11-24 00:00:00+00:00,41839
2024-11-25 00:00:00+00:00,41853
2024-11-26 00:00:00+00:00,41863
2024-11-27 00:00:00+00:00,41873
2024-11-28 00:00:00+00:00,41883
2024-11-29 00:00:00+00:00,41889
2024-11-30 00:00:00+00:00,41894
2024-12-01 00:00:00+00:00,41903
2024-12-02 00:00:00+00:00,41910
2024-12-03 00:00:00+00:00,41929
2024-12-04 00:00:00+00:00,41944
2024-12-05 00:00:00+00:00,41958
2024-12-06 00:00:00+00:00,41970
2024-12-07 00:00:00+00:00,41976
2024-12-08 00:00:00+00:00,41987
2024-12-09 00:00:00+00:00,42002
2024-12-10 00:00:00+00:00,42011
2024-12-11 00:00:00+00:00,42021
2024-12-12 00:00:00+00:00,42030
2024-12-13 00:00:00+00:00,42039
2024-12-14 00:00:00+00:00,42054
2024-12-15 00:00:00+00:00,42065
2024-12-16 00:00:00+00:00,42074
2024-12-17 00:00:00+00:00,42090
2024-12-18 00:00:00+00:00,42102
2024-12-19 00:00:00+00:00,42114
2024-12-20 00:00:00+00:00,42125
2024-12-21 00:00:00+00:00,42130
2024-12-22 00:00:00+00:00,42142
2024-12-23 00:00:00+00:00,42160
2024-12-24 00:00:00+00:00,42185
2024-12-25 00:00:00+00:00,42206
2024-12-26 00:00:00+00:00,42223
2024-12-27 00:00:00+00:00,42239
2024-12-28 00:00:00+00:00,42256
2024-12-29 00:00:00+00:00,42267
2024-12-30 00:00:00+00:00,42274
2024-12-31 00:00:00+00:00,42286
2025-01-01 00:00:00+00:00,42290
2025-01-02 00:00:00+00:00,42307
2025-01-03 00:00:00+00:00,42325
2025-01-04 00:00:00+00:00,42334
2025-01-05 00:00:00+00:00,42347
2025-01-06 00:00:00+00:00,42366
2025-01-07 00:00:00+00:00,42382
2025-01-08 00:00:00+00:00,42391
2025-01-09 00:00:00+00:00,42409
2025-01-10 00:00:00+00:00,42424
2025-01-11 00:00:00+00:00,42435
2025-01-12 00:00:00+00:00,42447
2025-01-13 00:00:00+00:00,42462
2025-01-14 00:00:00+00:00,42495
2025-01-15 00:00:00+00:00,42507
2025-01-16 00:00:00+00:00,42527
2025-01-17 00:00:00+00:00,42538
2025-01-18 00:00:00+00:00,42551
2025-01-19 00:00:00+00:00,42559
2025-01-20 00:00:00+00:00,42576
2025-01-21 00:00:00+00:00,42590
2025-01-22 00:00:00+00:00,42604
2025-01-23 00:00:00+00:00,42618
2025-01-24 00:00:00+00:00,42629
2025-01-25 00:00:00+00:00,42638
2025-01-26 00:00:00+00:00,42648
2025-01-27 00:00:00+00:00,42659
2025-01-28 00:00:00+00:00,42671
2025-01-29 00:00:00+00:00,42682
2025-01-30 00:00:00+00:00,42692
2025-01-31 00:00:00+00:00,42702
2025-02-01 00:00:00+00:00,42711
